"HolderAddress","Balance","PendingBalanceUpdate"
"0x4ae9c4ba4adfc72c6d0bb8fa6b3a47aab11c019e","244046994.923299","No"
"0x2c1bdede8786a33ffd35b7ad889cb4085f8c2a1c","259476680.591892","No"
"0xfa9e221a7af006531a816e98792a3e4b22a01461","347562497.497972","No"
"0x9894238155c0f7a67bf45c773b130ca98688da30","33269.729828085","No"
"0x50b74c05a0cde8791ce1a1d03aaf582110d7d501","358313179.116167","No"
"0x0810414c1cdd3db2ace12975c168a086778e835e","191968.720833643","No"
"0x05ecf9844ca7e45a6551156d5986ee507b5cbba7","3412054.41437033","No"
"0xe27aee4bab0bae70cae092a79dd0c8dde3d4b0d6","114157485.21124","No"
"0x1de95c102c42849e3da1dd6ab5144a17b9ab205f","7787.79358525","No"
"0x2f5c609ba8077e0c141eafd5e7b33c2e659f047b","15552.846409504","No"
"0x291b70f9a1ba6cdebff4273f1900fd7eab41de23","42.144080433","No"
"0xe99c8901cfef4c0052bb7bac914f66488a9e368a","1414.304217652","No"
"0x58f464db8eedf24c8baca94bdefab6337c828ecf","51233469.5681191","No"
"0x968a76cd820ff569092ebe12a622c7dbae05a8f0","12432.763093556","No"
"0xb27b24bc2c2527f2104b664bb485c733b311446b","2660.385268846","No"
"0xa7271c0fcb72e02547f382a3c18dd9a7774bea35","72489.879638611","No"
"0xafcd5729ffb768742ef6526bac804b8a12f5f56e","3641.169602824","No"
"0x4b89d938a6731c0f886e5333db09ba6b94bf6551","1105309315.1167","No"
"0x1df3f1e5fa29f609758f09b00a5b2e0f567991af","50000252.9234785","No"
"0x56e98ef26a83533d8c38ab8bef4fe5fbff49134a","5326.038445974","No"
"0xaea1da048dcaa7211848b3419d454bda4aed9acb","2880159473.31839","No"
"0xc4ff50f331682093c0f4532428410c84e91398e3","993962286.076419","No"
"0x45db73762aa6e7771e896bbf9292a6674d3877fa","342820556.559081","No"
"0x3a2a7558bb3a8f1304e304143a517a425feb702d","756015764.672767","No"
"0x4cc0ab37598b34e8e80e8c2879e7cdd7e23ccdfe","315102047.424959","No"
"0xde44f07688f43f48c8af7f18fb8883384a4157a5","2551758464.18715","No"
"0xf4a8239c03f5a7bd7dd0f3851580b01a21765ff6","2430.389584099","No"
"0x63cd3c641f7e57a60df6edd11bd9f353147df307","108804.409642371","No"
"0x949648802aa79b1ba14d82715e4662e3fb943059","136730.660183061","No"
"0xeb5cc391e8cae0d95160bf4b35896efcd19182da","1061719.6371114","No"
"0x79286ec080542a3fe8822cc6180ee4ba5c5fa221","7755.560627177","No"
"0x6cde8b2a2a75ba62208ca72f54821255545cb233","262132229.827535","No"
"0x81b2414cbb95d23635ff365e1e2d41603af0449e","1490.812210842","No"
"0x961c5f7fbb5e1e72c10f26f83a8b39b57906ef8d","349632.000014669","No"
"0x2b0e5b3fc19f9f490d8bff64257579744b916c85","53826.443591495","No"
"0x43db8977a78b8a093daf69f8ccc28e06e54e5c8c","108043.703122367","No"
"0x7d25ccf0273bbd11f285228f9531ab08c9561597","102097884.577146","No"
"0xeffec4a52c36b7283f683f367443ad654f95b7a6","212989917.438622","No"
"0x75431de18fd56d7ac8764276147459104cbf43ec","530.906594151","No"
"0x3fcb3245dbc1e8688dea453eca848d9b6559c9dc","1052854.82876581","No"
"0x67d9e789cb79c395170125d2c7ca03111a0528bc","57535964.7109416","No"
"0x8cc183832e54bdc3f69ab1008230494e1381f6a8","1021.820087381","No"
"0x6a50f064530f51827446de3e1b5f1643cb7f30b6","51092929.9462635","No"
"0xef14db00cd66cb91c9304377b58c258c56a8885f","67220069.486895","No"
"0x0177ed3a564b3a19387376676aabe76fe19e1262","1051889642.96415","No"
"0xc15857aceddbe4500f3b3890a15332bb830613eb","3266.928278396","No"
"0x598527318425db2611b55aceb7e7f3851f968150","14451.178114846","No"
"0x42409d6edefc74b970ccd8234d562b322676c249","426143.463031118","No"
