"HolderAddress","Balance","PendingBalanceUpdate"
"0x7aa10e1538368d0203f0a515570659da15395180","0.068701269","No"
"0x1d992c33dac789e1d3e4cb9e4b92faa7779d0405","65814.891519925","No"
"0x3bf555ab9477a78f0a3fee3f4198ef42b5a8b5e8","1476386.54728265","No"
"0x5e68d93b1599340f692921028c14e3220f45e3be","1714325.6026421","No"
"0x77c6019d654b7f2a8d3ee98904f048df28ab4866","6502754.30525222","No"
"0x0450b9ea37d42727abcca1df85473f4b77e01bbc","21631.59999896","No"
"0x829cf6719a83d54adc8096b4158bee564b972514","92418.446620358","No"
"0x4c2673420de3ab21cd4a2fc7b4d2eb5d6622ee22","83089.878256583","No"
"0x9e6973bc403a168e0b931d9dd2d8bf2e2fa61c03","6543.25","No"
"0xecc3c163c1157931105b1c2383058b596050f95e","36954.525747482","No"
"0xd3fdf2a3a5f06f7f9ed0989a5d398a616d726a25","806185.322129367","No"
"0xe9d1e0edcb6a4eefc93422bc30d916b4a3e3d56e","1824540.38954612","No"
"0xd120404daee315ff37a990102dd6dc8eed2399c8","3129496.71914789","No"
"0xd90dbbd781bd3a759df60fd8e02c0be9abd5ec08","40000","No"
"0xf525e72a329a7296c8c00f0c74cdafc5863f9bcf","43768.169031023","No"
"0x17df57ff4a50f59e4e01ff71f585cd2c4568f2ff","1084334.54414923","No"
"0xbe64d44e6864c6887d6a3ca3c478b3c604436589","453251","No"
"0x7d620195e985ee4821f5df304e96a175da65a4f1","28782.364129337","No"
"0x54ba3c97c80986b7d40ee5da8eeee2cc94b78317","1000000","No"
"0xb7073b6082e8b77ab667fac3ab02e88b2c3937d3","2561634.30874801","No"
"0x4d525b0f923813c162fdb5faf81467eaa6ce5062","1005919.20937627","No"
"0xe6b5efa08e25d012edeca5e1067c84fafe6243a9","176208.273789035","No"
"0xb4a0d18a8e9e01ed83743c535b2ce0516c59e22a","346376.00870948","No"
"0x0ee9e76b0e06f481e04ac5375e66ae7d2cb60e63","257861.167792761","No"
"0x67779908adbcd6ff9f88a904ca8af6073c69070e","1009252.57112616","No"
"0x7af73fdd420db7f2d7cb685764cddeb431ff9ddb","535881.698760948","No"
"0x60229b8100588d7f36a93a8e1488c6eaaf500989","1710691","No"
"0xdb04ec3cbf643855954fa5f7dd02abd924e60d81","1571029.28994691","No"
"0x519fe9ffa9f6ba4724c8fcbaa0ff03d1d8b6a5ac","193549.58605039","No"
"0x8e4fd4a7d4d70c2051f7958a256519b3d3671cff","9098952.57083528","No"
"0xeb6390f45b6acdd17f18578f100cda4e6c85d875","1225595.31890665","No"
"0xa540b89418f6b1dbee602e17e22ff082dd92aff6","1548031.30441928","No"
"0x952ccc62999ed6f919620d0cdf33c7c721f85b13","176805.802283326","No"
"0x35af19dcf06d1efa4536346bddcb11e36c04d8e2","89607.608599861","No"
"0xb56eaf268a105ea8f9b0e9f95e7da7f643f81ca1","21498.941353227","No"
"0x5cf725240932c1334f679edfef351ea4b742f4b9","37530067.8425508","No"
"0x605e4f01567455e5f4af24966a5b6396255ecda5","1545748.05889999","No"
"0x38a280949d29b7b0a6475cd70d856c6ccd9ae355","8599046.99137971","No"
"0x7da0cca4bbd10dfe9a6a1f7c3042967e2aa305f3","123717.642456427","No"
"0xa2e9a76089c6e42ba0d13e9520776a37c90256ac","1275733.86660534","No"
"0x9dbc895af7bea98915ae29092643056d36f4f522","178426.958612036","No"
"0x7140d3e0e3ff236976e4dccca1cf6cec71eba861","116661.156866949","No"
"0x0470c362f5fbbbafbfded91adf51e4713a9f4f6d","217370.408372821","No"
"0x8a1dfe9cd5ee760d9e676fbfdf5796c0384c20cd","70642.796102254","No"
"0x6ed92c560eee043b1eea45a678d7a2f32147d61c","0.000846891","No"
"0xa3680ec35f437841f1230ddaba106275af5499c5","2265116.73143646","No"
"0x59b3014ab748b0a8a63341428e658b16f5dfa8a1","36892.207916586","No"
"0xff6c8e5cbc25edf0b4c1c77d7c4f9c10c2a04122","1901102.11455413","No"
"0xe05ec892d7dc1211e5f5ce2922bc319521001380","169445.205902106","No"
"0x5fa25e7436394fd79ada74aa0331c2847b939b15","327628.422936225","No"
"0xb25ee8f76ba91698ef573609f5f868c96e7a13a9","1000","No"
"0x6b0578e996711b764c2f80549d8ddd26b65f4736","10158.284924885","No"
"0x72bb1f55b845c40286bcdcb98137d7dfd80c5a7c","150000","No"
"0x26794bf2bdce311eb77dd67ceac78d18c85eee47","136914.501971394","No"
"0xadcb14f1bfc664731ecb9e48b79a8973e96731da","320325.45699073","No"
